3001_21_JUMP_STREET_00.02.55.644-00.02.56.718,00.02.55.644,00.02.56.718,00.02.55.181,00.02.57.181,"Now outside, [...] kicks over a trashcan."
3001_21_JUMP_STREET_00.02.56.321-00.02.58.664,00.02.56.321,00.02.58.664,00.02.56.321,00.02.58.664,"Sitting on a nearby bench, the nerd looks over."
3001_21_JUMP_STREET_00.02.59.061-00.03.02.119,00.02.59.061,00.03.02.119,00.02.59.061,00.03.02.119,The jock slumps down on a bench on the other side of two columns.
3001_21_JUMP_STREET_00.03.02.119-00.03.05.113,00.03.02.119,00.03.05.113,00.03.02.119,00.03.05.113,With tearful eyes [...] notices the awkward teen watching him.
3001_21_JUMP_STREET_00.03.07.077-00.03.07.559,00.03.07.077,00.03.07.559,00.03.06.318,00.03.08.318,"Tucking his longhair behind his ear, [...] leaves."
3001_21_JUMP_STREET_00.03.07.659-00.03.12.706,00.03.07.659,00.03.12.706,00.03.07.659,00.03.12.706,The nerd wipes his own tears and stands.
3001_21_JUMP_STREET_00.03.13.271-00.03.16.551,00.03.13.271,00.03.16.551,00.03.13.271,00.03.16.551,[...] gives the trashcan a kick then grabs his aching leg.
3001_21_JUMP_STREET_00.03.17.430-00.03.19.702,00.03.17.430,00.03.19.702,00.03.17.430,00.03.19.702,"Words appear: ""Seven years later""."
3001_21_JUMP_STREET_00.03.23.999-00.03.27.822,00.03.23.999,00.03.27.822,00.03.23.999,00.03.27.822,His close cropped hair now caramel brown.
3001_21_JUMP_STREET_00.03.23.999-00.03.27.338,00.03.23.999,00.03.27.338,00.03.23.999,00.03.27.338,The nerd enters the Metropolitan City Police Academy wearing a blue uniform and takes his place in a registration line.
3001_21_JUMP_STREET_00.03.33.915-00.03.37.182,00.03.33.915,00.03.37.182,00.03.33.915,00.03.37.182,"Ahead in line, [...] now sporting a buzz cut spots him."
3001_21_JUMP_STREET_00.03.39.479-00.03.41.056,00.03.39.479,00.03.41.056,00.03.39.268,00.03.41.268,The former nerd musters a courteous nod.
3001_21_JUMP_STREET_00.03.41.156-00.03.43.283,00.03.41.156,00.03.43.283,00.03.41.156,00.03.43.283,Now students spar in a hand-to-hand combat class.
3001_21_JUMP_STREET_00.03.47.179-00.03.47.864,00.03.47.179,00.03.47.864,00.03.46.522,00.03.48.522,[...] lifts the former nerd.
3001_21_JUMP_STREET_00.03.47.964-00.03.50.464,00.03.47.964,00.03.50.464,00.03.47.964,00.03.50.464,[...] slams him down on the mat and raises his fist.
3001_21_JUMP_STREET_00.03.55.477-00.03.57.494,00.03.55.477,00.03.57.494,00.03.55.477,00.03.57.494,In another class [...] gets an F on a test.
3001_21_JUMP_STREET_00.03.57.830-00.04.01.433,00.03.57.830,00.04.01.433,00.03.57.830,00.04.01.433,[...] notices SOMEONE's test which boasts a perfect score.
3001_21_JUMP_STREET_00.04.08.170-00.04.16.024,00.04.08.170,00.04.16.024,00.04.08.170,00.04.16.024,"On an obstacle course, [...] finishes a tire run then roots for [...]."
3001_21_JUMP_STREET_00.04.16.124-00.04.22.796,00.04.16.124,00.04.22.796,00.04.16.124,00.04.22.796,Now [...] tutors him.
3001_21_JUMP_STREET_00.04.23.131-00.04.29.247,00.04.23.131,00.04.29.247,00.04.23.131,00.04.29.247,"Now by SOMEONE's bed, [...] shoots him with a toy gun."
3001_21_JUMP_STREET_00.04.27.661-00.04.30.420,00.04.27.661,00.04.30.420,00.04.27.661,00.04.30.420,"Then lifts his mattress, dumping him off."
3001_21_JUMP_STREET_00.04.31.324-00.04.33.334,00.04.31.324,00.04.33.334,00.04.31.324,00.04.33.334,Later [...] drags [...] through a jog.
3001_21_JUMP_STREET_00.04.33.589-00.04.37.478,00.04.33.589,00.04.37.478,00.04.33.589,00.04.37.478,In a training course cutout targets swing out at them and they shoot.
3001_21_JUMP_STREET_00.04.37.478-00.04.41.088,00.04.37.478,00.04.41.088,00.04.37.478,00.04.41.088,The oddly matched recruits cover each other.
3001_21_JUMP_STREET_00.04.41.199-00.04.42.982,00.04.41.199,00.04.42.982,00.04.41.091,00.04.43.091,As [...] finishes the tire run.
3001_21_JUMP_STREET_00.04.43.447-00.04.44.688,00.04.43.447,00.04.44.688,00.04.43.068,00.04.45.068,the teacher gives a thumbs up.
3001_21_JUMP_STREET_00.04.46.025-00.04.47.994,00.04.46.025,00.04.47.994,00.04.46.010,00.04.48.010,"In class, [...] gets a test back and pumps his fist."
3001_21_JUMP_STREET_00.04.50.923-00.04.53.160,00.04.50.923,00.04.53.160,00.04.50.923,00.04.53.160,"[...] proudly shows his score, a C-."
3001_21_JUMP_STREET_00.04.54.287-00.04.55.595,00.04.54.287,00.04.55.595,00.04.53.941,00.04.55.941,They bump fists.
3001_21_JUMP_STREET_00.04.56.019-00.04.58.572,00.04.56.019,00.04.58.572,00.04.56.019,00.04.58.572,At graduation.
3001_21_JUMP_STREET_00.05.01.039-00.05.11.661,00.05.01.039,00.05.11.661,00.05.01.039,00.05.11.661,[...] smirks and [...] beams.
3001_21_JUMP_STREET_00.05.11.436-00.05.14.144,00.05.11.436,00.05.14.144,00.05.11.436,00.05.14.144,"Now partners, they patrol a tranquil public park on bicycles."
3001_21_JUMP_STREET_00.05.21.714-00.05.23.328,00.05.21.714,00.05.23.328,00.05.21.521,00.05.23.521,there are some teens at a pond.
3001_21_JUMP_STREET_00.05.22.320-00.05.24.566,00.05.22.320,00.05.24.566,00.05.22.320,00.05.24.566,[...] fishes it from the water.
3001_21_JUMP_STREET_00.05.27.229-00.05.28.465,00.05.27.229,00.05.28.465,00.05.26.847,00.05.28.847,[...] hurls it back.
3001_21_JUMP_STREET_00.05.29.021-00.05.32.792,00.05.29.021,00.05.32.792,00.05.29.021,00.05.32.792,Later [...] beats [...] at red-hands.
3001_21_JUMP_STREET_00.05.33.309-00.05.36.553,00.05.33.309,00.05.36.553,00.05.33.309,00.05.36.553,Now they flip their guns.
3001_21_JUMP_STREET_00.05.44.209-00.05.45.901,00.05.44.209,00.05.45.901,00.05.44.055,00.05.46.055,A boy defiantly holds out torn bread.
3001_21_JUMP_STREET_00.05.52.194-00.05.54.021,00.05.52.194,00.05.54.021,00.05.52.108,00.05.54.108,[...] stares ahead.
3001_21_JUMP_STREET_00.05.55.418-00.05.56.940,00.05.55.418,00.05.56.940,00.05.55.179,00.05.57.179,[...] sees a biker gang.
3001_21_JUMP_STREET_00.06.01.393-00.06.05.543,00.06.01.393,00.06.05.543,00.06.01.393,00.06.05.543,They pass a joint around.
3001_21_JUMP_STREET_00.06.07.743-00.06.11.541,00.06.07.743,00.06.11.541,00.06.07.743,00.06.11.541,[...] struts off.
3001_21_JUMP_STREET_00.06.11.541-00.06.13.725,00.06.11.541,00.06.13.725,00.06.11.541,00.06.13.725,Now the partners furiously pedal their bicycles across a green lawn.
3001_21_JUMP_STREET_00.06.13.725-00.06.15.733,00.06.13.725,00.06.15.733,00.06.13.725,00.06.15.733,Little red and blue lights twinkle on their handlebars.
3001_21_JUMP_STREET_00.06.17.808-00.06.23.265,00.06.17.808,00.06.23.265,00.06.17.808,00.06.23.265,"Reaching their destination, they climb off their bikes and lower their kickstands."
3001_21_JUMP_STREET_00.06.25.256-00.06.28.697,00.06.25.256,00.06.28.697,00.06.25.256,00.06.28.697,The rookies approach the biker gang.
3001_21_JUMP_STREET_00.06.38.509-00.06.40.297,00.06.38.509,00.06.40.297,00.06.38.403,00.06.40.403,[...] smacks the joint from the leader's hand.
3001_21_JUMP_STREET_00.07.20.792-00.07.23.604,00.07.20.792,00.07.23.604,00.07.20.792,00.07.23.604,The bikers scatter.
3001_21_JUMP_STREET_00.07.26.430-00.07.29.170,00.07.26.430,00.07.29.170,00.07.26.430,00.07.29.170,[...] gets on his bike.
3001_21_JUMP_STREET_00.07.30.014-00.07.31.787,00.07.30.014,00.07.31.787,00.07.29.901,00.07.31.901,[...] chases the leader on foot.
3001_21_JUMP_STREET_00.07.35.001-00.07.38.051,00.07.35.001,00.07.38.051,00.07.35.001,00.07.38.051,A fat bearded biker crosses the bridge.
3001_21_JUMP_STREET_00.07.38.051-00.07.40.932,00.07.38.051,00.07.40.932,00.07.38.051,00.07.40.932,[...] rides after him.
3001_21_JUMP_STREET_00.07.46.775-00.07.55.351,00.07.46.775,00.07.55.351,00.07.46.775,00.07.55.351,"Pulling out in front of the bearded bikers, [...] gets off his bike and draws his gun."
3001_21_JUMP_STREET_00.07.59.855-00.08.05.513,00.07.59.855,00.08.05.513,00.07.59.855,00.08.05.513,"Elsewhere, [...] vaults off a post and tackles the leader."
3001_21_JUMP_STREET_00.08.08.173-00.08.10.891,00.08.08.173,00.08.10.891,00.08.08.173,00.08.10.891,The biker knocks him over and runs off.
3001_21_JUMP_STREET_00.08.13.371-00.08.13.697,00.08.13.371,00.08.13.697,00.08.12.534,00.08.14.534,With the gang leader.
3001_21_JUMP_STREET_00.08.13.697-00.08.26.593,00.08.13.697,00.08.26.593,00.08.13.697,00.08.26.593,"Straddling the leader's rear, [...] humps him as [...] cuffs him."
3001_21_JUMP_STREET_00.08.30.808-00.08.39.023,00.08.30.808,00.08.39.023,00.08.30.808,00.08.39.023,[...] leaps into SOMEONE's arms and the athletic cop swings his partner around.
3001_21_JUMP_STREET_00.08.39.601-00.08.42.843,00.08.39.601,00.08.42.843,00.08.39.601,00.08.42.843,They face the gang leader.
3001_21_JUMP_STREET_00.08.42.843-00.08.48.277,00.08.42.843,00.08.48.277,00.08.42.843,00.08.48.277,As [...] pretends to hump him [...] kneels by his face.
3001_21_JUMP_STREET_00.08.48.453-00.08.50.918,00.08.48.453,00.08.50.918,00.08.48.453,00.08.50.918,Nearby young families gawk with horrified expressions.
3001_21_JUMP_STREET_00.08.51.476-00.08.57.394,00.08.51.476,00.08.57.394,00.08.51.476,00.08.57.394,[...] fires his gun skyward and the families flee.
3001_21_JUMP_STREET_00.08.57.715-00.09.06.313,00.08.57.715,00.09.06.313,00.08.57.715,00.09.06.313,"Later, they strut into a police station passing two hookers."
3001_21_JUMP_STREET_00.10.21.308-00.10.23.286,00.10.21.308,00.10.23.286,00.10.21.297,00.10.23.297,"In an office, The Deputy Chief flicks the cut."
3001_21_JUMP_STREET_00.11.19.806-00.11.23.729,00.11.19.806,00.11.23.729,00.11.19.806,00.11.23.729,Now outside an abandoned church.
3001_21_JUMP_STREET_00.11.22.032-00.11.24.605,00.11.22.032,00.11.24.605,00.11.22.032,00.11.24.605,[...] parks a faded hatchback at the curb.
3001_21_JUMP_STREET_00.11.24.605-00.11.33.620,00.11.24.605,00.11.33.620,00.11.24.605,00.11.33.620,"Getting out with him, [...] reads a sign at the entrance printed in Korean and English."
3001_21_JUMP_STREET_00.11.36.061-00.11.40.852,00.11.36.061,00.11.40.852,00.11.36.061,00.11.40.852,[...] leads his partner through the front gate.
3001_21_JUMP_STREET_00.11.38.097-00.11.39.618,00.11.38.097,00.11.39.618,00.11.37.858,00.11.39.858,Stickers on its mailbox spell out 21 Jump Street.
3001_21_JUMP_STREET_00.11.40.133-00.11.41.118,00.11.40.133,00.11.41.118,00.11.39.626,00.11.41.626,Stepping inside.
3001_21_JUMP_STREET_00.11.41.289-00.11.50.111,00.11.41.289,00.11.50.111,00.11.41.289,00.11.50.111,The uniform cops walk through a storage area and enter a small chapel.
3001_21_JUMP_STREET_00.11.50.111-00.11.52.038,00.11.50.111,00.11.52.038,00.11.50.075,00.11.52.075,Where youthful looking cops in street clothes lounge in the pews.
3001_21_JUMP_STREET_00.11.52.038-00.11.54.078,00.11.52.038,00.11.54.078,00.11.52.038,00.11.54.078,A woman with long blonde hair turns.
3001_21_JUMP_STREET_00.11.54.078-00.11.55.465,00.11.54.078,00.11.55.465,00.11.53.772,00.11.55.772,So does an Asian woman with bleached hair.
3001_21_JUMP_STREET_00.11.56.116-00.11.59.711,00.11.56.116,00.11.59.711,00.11.56.116,00.11.59.711,[...] and [...] sit in the rear pew.
3001_21_JUMP_STREET_00.12.02.161-00.12.09.855,00.12.02.161,00.12.09.855,00.12.02.161,00.12.09.855,An older African-American police officer wearing a badge on one hip and a gun on the other steps out to the pulpit and scowls at them.
3001_21_JUMP_STREET_00.12.11.223-00.12.13.168,00.12.11.223,00.12.13.168,00.12.11.196,00.12.13.196,[...] nods meekly.
3001_21_JUMP_STREET_00.12.49.209-00.12.53.456,00.12.49.209,00.12.53.456,00.12.49.209,00.12.53.456,[...] spreads his hands in a dramatic shrug.
